"Kode_Kab","Jumlah_Masjid","Jumlah_Restoran","Jumlah Wisatawan","PDRB"
32.01,2360,359,6319408,289106.15
32.02,5226,40,2767167,82317.31
32.03,5533,87,1988585,58391.22
32.04,5325,21,1030084,153950.74
32.05,3262,101,3874577,72229.23
32.06,4059,2,898599,46097.96
32.07,2453,7,1099443,39841.04
32.08,806,18,3081084,32544.89
32.09,822,54,683909,61309.76
32.1,1014,5,1050524,41713.45
32.11,2299,53,1815426,43327.15
32.12,805,5,836785,103559.94
32.13,1665,28,5953952,49692.22
32.14,975,45,1731423,82129.26
32.15,1628,316,2492910,290916.32
32.16,661,809,2779981,393822.98
32.17,3261,156,3480347,56945.18
32.18,845,0,3898575,14256.42
32.71,785,452,2652355,57003.76
32.72,354,110,405863,15349.71
32.73,2243,427,2923284,351284.45
32.74,301,133,1833129,28772.59
32.75,554,1049,975195,118963.02
32.76,446,1147,3210633,87568.62
32.77,420,28,110767,40499.39
32.78,1013,269,1369231,27411.43
32.79,320,3,68864,5246.65
