Kode_Wisata,Jumlah_Ulasan,Latitude,Longitude,Image
WS00001,13331,-6.383701185,106.7719268,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Masjid%20Kubah%20Emas%20-%202.jpg?raw=true
WS00002,1289,-7.73692363,108.4977266,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Batu%20Karas%20-%203.png?raw=true
WS00003,0,-6.737173208,108.542758,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Gua%20Sunyaragi%20-%201.jpg?raw=true
WS00004,4253,-6.991857195,107.0560588,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Situs%20Megalitikum%20-%201.jpg?raw=true
WS00005,1249,-7.017164515,107.0967358,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Curug%20Cikondang%20-%201.webp
WS00006,1115,-6.90551275,108.3291847,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Ibun%20-%203.jpg?raw=true
WS00007,1,-6.735161308,107.65731,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Balon%20Udara%20-%201.jpg?raw=true
WS00008,608,-6.786626301,108.4189544,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Telaga%20Nilem%20-%201.webp
WS00009,727,-6.946764623,108.4328612,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Putri%20Palutungan%20-%201.jpeg?raw=true
WS00010,1931,-7.191829391,107.2344156,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Citambur%20-%203.jpg?raw=true
WS00011,65796,-6.72043077,106.9508677,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Safari%20-%203.jpg?raw=true
WS00012,16734,-6.725799418,108.570837,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Keraton%20Kesepuhan%20-%201.jpg?raw=true
WS00013,4254,-6.918066615,108.3451092,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Terasering%20Panyaweuyan%20-%202.jpg?raw=true
WS00014,991,-6.802456254,106.4983043,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Kampung%20Adat%20Ciptagelar%20-%201.jpg?raw=true
WS00015,0,-6.056706149,107.1546634,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Candi%20Jiwa%20Batujaya%20-%202.jpg?raw=true
WS00016,3795,-6.579380433,107.2301053,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Cigentis%20-%201.jpg?raw=true
WS00017,1970,-6.306262018,107.2791304,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taruma%20Leisure%20Waterpark%20-%202.jpg?raw=true
WS00018,21,-6.54176805,107.2543515,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Wana%20Wisata%20Puncak%20Sempur%20-%202.png?raw=true
WS00019,3575,-6.545657098,107.2345266,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Kampung%20Turis%20-%201.jpg?raw=true
WS00020,832,-6.180954238,107.2925562,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Hud-Hud%20-%202.jpg?raw=true
WS00021,1549,-6.050804553,107.4078228,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Samudera%20Baru%20-%201.jpg?raw=true
WS00022,605,-6.398408295,107.3996777,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Marigold%20Garden%20-%201.jpg?raw=true
WS00023,3806,-5.971009507,107.1276835,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Tanjung%20Pakis%20-%201.jpg?raw=true
WS00024,345,-6.527778603,107.252362,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Bukit%20Kembar%20Puncak%20Pinus%20-%201.jpg?raw=true
WS00025,6360,-6.956832614,106.4656209,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Karanghawu%20-%201.jpg?raw=true
WS00026,3903,-7.668131148,107.6968977,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Sayang%20Heulang%20-%202.jpg?raw=true
WS00027,260,-7.810219082,108.3052854,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Cimanuk%20-%202.jpeg?raw=true
WS00028,729,-6.423045603,108.4412635,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Pantai%20Glayem%20-%202.webp
WS00029,1297,-7.69759402,108.5173998,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Batu%20Hiu%20-%201.jpg?raw=true
WS00030,2059,-7.318665382,107.7310494,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Gunung%20Papandayan%20-%201.jpg?raw=true
WS00031,2305,-7.265495855,108.0714521,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Gunung%20Galunggung%20-%201.jpg?raw=true
